file	result	first_error
scripts/dst/fixtures/adr001_boundary/q_named_paren_apply.ail	ok	
scripts/dst/fixtures/adr001_boundary/q_named_partial.ail	ok	
scripts/dst/fixtures/adr001_boundary/q_named_recfield_named.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/q_named_recfield_named (decl 1): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/q_named_recfield_named.ail:6:28]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/q_named_shadow.ail	ok	
scripts/dst/fixtures/adr001_boundary/q_named_toplevel_apply.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/q_named_toplevel_apply: Effect checking failed for function 'w'
scripts/dst/fixtures/adr001_boundary/reconstructed/judge_types.ail	ok	
scripts/dst/fixtures/adr001_boundary/reconstructed/n_pure_named_applier.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/reconstructed/n_pure_named_applier: Effect checking failed for function 'body'
scripts/dst/fixtures/adr001_boundary/reconstructed/q_dec_prepare_named_ok.ail	ok	
scripts/dst/fixtures/adr001_boundary/reconstructed/q_dec_prepare_toplevel_escape.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/reconstructed/q_dec_prepare_toplevel_escape: Effect checking failed for function 'w'
scripts/dst/fixtures/adr001_boundary/reconstructed/q_fs_named_toplevel_escape.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/reconstructed/q_fs_named_toplevel_escape: Effect checking failed for function 'w'
scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_collision.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_collision: Effect checking failed for function 'body'
scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_emptyrow.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_emptyrow (decl 1): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_emptyrow.ail:8:28]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_generic.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_generic (decl 2): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_generic.ail:9:28]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_letannot.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_letannot (decl 1): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_letannot.ail:8:28]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_mutual.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_mutual (decl 1): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_mutual.ail:9:28]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_pure_kw.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_pure_kw (decl 1): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_pure_kw.ail:8:28]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_recfield_named_nolet.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_recfield_named_nolet (decl 1): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_recfield_named_nolet.ail:9:28]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_recfield_paren.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_recfield_paren (decl 1): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_recfield_paren.ail:9:28]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_recfield_xmod.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_recfield_xmod (decl 0): type unification failed at [let annotation r at scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_recfield_xmod.ail:8:34]: failed to unify record field 'f': failed to unify effect rows: incompatible closed rows: r1 has extra labels [IO], r2 has extra labels []
scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_sumpayload_named.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_sumpayload_named: Effect checking failed for function 'body'
scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_toplevel_apply_paren.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_toplevel_apply_paren: Effect checking failed for function 'w'
scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_toplevel_apply_unannot.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_toplevel_apply_unannot: Effect checking failed for function 'w'
scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_toplevel_noannot_let.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_toplevel_noannot_let: Effect checking failed for function 'w'
scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_uppercase.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_uppercase (decl 2): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/reconstructed/q_named_uppercase.ail:9:28]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/reconstructed/rec_types.ail	ok	
scripts/dst/fixtures/adr001_boundary/registration_record.ail	ok	
scripts/dst/fixtures/adr001_boundary/types.ail	ok	
scripts/dst/fixtures/adr001_boundary/v7_delegate_import_shadow.ail	ok	
scripts/dst/fixtures/adr001_boundary/v7_delegate_param.ail	ok	
scripts/dst/fixtures/adr001_boundary/v7_describe_config.ail	ok	
scripts/dst/fixtures/adr001_boundary/v7_mkmod.ail	ok	
scripts/dst/fixtures/adr001_boundary/v7_param_shadow.ail	ok	
scripts/dst/herdr_graded_dst.ail	FAIL	Error: module loading error: failed to load pkg/sunholo/motoko_ext_herdr/register: failed to resolve package import "pkg/sunholo/motoko_ext_herdr/register": package "sunholo/motoko_ext_herdr" not found in ailang.lock; run 'ailang lock' to resolve dependencies
scripts/dst/hook_guard_dst.ail	FAIL	Error: type error in scripts/dst/hook_guard_dst (decl 4): type unification failed at [return type annotation at scripts/dst/hook_guard_dst.ail:113:1]: record field mismatch: expected 20 fields, got 23
scripts/dst/invariants_dst.ail	ok	
scripts/dst/journal_resume_dst.ail	ok	
scripts/dst/latency_pair_dst.ail	FAIL	Error: type error in scripts/dst/latency_pair_dst (decl 15): type unification failed at [function application at scripts/dst/latency_pair_dst.ail:158:28]: failed to unify parameter 1: record field mismatch: expected 10 fields, got 9
scripts/dst/ledger_parity_dst.ail	FAIL	Error: type error in scripts/dst/ledger_parity_dst (decl 10): type unification failed at [return type annotation at scripts/dst/ledger_parity_dst.ail:192:1]: record field mismatch: expected 9 fields, got 10
scripts/dst/long_qwen_compaction_dst.ail	FAIL	Error: module loading error: failed to load pkg/sunholo/motoko_ext_compaction_ai/compaction_ai: failed to resolve package import "pkg/sunholo/motoko_ext_compaction_ai/compaction_ai": package "sunholo/motoko_ext_compaction_ai" not found in ailang.lock; run 'ailang lock' to resolve dependencies
scripts/dst/park_resume_dst.ail	FAIL	Error: type error in scripts/dst/park_resume_dst (decl 26): type unification failed at [function application at scripts/dst/park_resume_dst.ail:323:28]: failed to unify parameter 1: record field mismatch: expected 10 fields, got 9
